,landing_page,purchased,inter,old_page
0,old_page,0,1,1
1,old_page,0,1,1
2,old_page,1,1,1
3,old_page,1,1,1
4,old_page,1,1,1
5,new_page,0,1,0
6,new_page,1,1,0
7,old_page,0,1,1
8,new_page,1,1,0
9,new_page,0,1,0
10,old_page,0,1,1
11,new_page,0,1,0
12,new_page,1,1,0
13,new_page,0,1,0
14,old_page,1,1,1
15,new_page,0,1,0
16,new_page,0,1,0
17,new_page,0,1,0
18,new_page,0,1,0
19,old_page,0,1,1
20,new_page,1,1,0
21,old_page,1,1,1
22,old_page,0,1,1
23,new_page,0,1,0
24,new_page,0,1,0
25,old_page,1,1,1
26,new_page,0,1,0
27,new_page,1,1,0
28,old_page,0,1,1
29,new_page,0,1,0
30,new_page,1,1,0
31,old_page,0,1,1
32,old_page,1,1,1
33,old_page,1,1,1
34,new_page,0,1,0
35,new_page,0,1,0
36,new_page,1,1,0
37,new_page,0,1,0
38,old_page,1,1,1
39,old_page,1,1,1
40,old_page,1,1,1
41,new_page,1,1,0
42,new_page,0,1,0
43,old_page,1,1,1
44,old_page,0,1,1
45,old_page,1,1,1
46,old_page,0,1,1
47,new_page,1,1,0
48,new_page,0,1,0
49,new_page,0,1,0
50,new_page,0,1,0
51,new_page,1,1,0
52,old_page,0,1,1
53,new_page,1,1,0
54,new_page,0,1,0
55,old_page,1,1,1
56,new_page,1,1,0
57,old_page,0,1,1
58,old_page,0,1,1
59,new_page,1,1,0
60,new_page,1,1,0
61,new_page,1,1,0
62,old_page,1,1,1
63,old_page,0,1,1
64,old_page,1,1,1
65,new_page,0,1,0
66,old_page,0,1,1
67,old_page,0,1,1
68,new_page,0,1,0
69,new_page,0,1,0
70,old_page,1,1,1
71,new_page,0,1,0
72,new_page,1,1,0
73,new_page,1,1,0
74,old_page,0,1,1
75,old_page,1,1,1
76,new_page,1,1,0
77,old_page,1,1,1
78,new_page,0,1,0
79,old_page,0,1,1
80,new_page,1,1,0
81,new_page,0,1,0
82,old_page,1,1,1
83,old_page,1,1,1
84,old_page,1,1,1
85,new_page,0,1,0
86,new_page,0,1,0
87,old_page,0,1,1
88,old_page,0,1,1
89,old_page,1,1,1
90,old_page,0,1,1
91,old_page,1,1,1
92,old_page,1,1,1
93,old_page,0,1,1
94,old_page,0,1,1
95,old_page,0,1,1
96,new_page,0,1,0
97,old_page,0,1,1
98,new_page,0,1,0
99,new_page,0,1,0
100,old_page,1,1,1
101,new_page,1,1,0
102,old_page,0,1,1
103,new_page,0,1,0
104,old_page,0,1,1
105,old_page,1,1,1
106,new_page,1,1,0
107,old_page,1,1,1
108,old_page,0,1,1
109,old_page,0,1,1
110,new_page,0,1,0
111,new_page,1,1,0
112,new_page,0,1,0
113,old_page,1,1,1
114,new_page,0,1,0
115,new_page,1,1,0
116,new_page,0,1,0
117,new_page,1,1,0
118,old_page,1,1,1
119,old_page,0,1,1
120,old_page,1,1,1
121,old_page,1,1,1
122,new_page,1,1,0
123,new_page,0,1,0
124,old_page,0,1,1
125,new_page,0,1,0
126,old_page,0,1,1
127,old_page,0,1,1
128,old_page,0,1,1
129,old_page,0,1,1
130,new_page,0,1,0
131,new_page,0,1,0
132,old_page,0,1,1
133,new_page,0,1,0
134,old_page,0,1,1
135,new_page,1,1,0
136,old_page,0,1,1
137,old_page,1,1,1
138,new_page,0,1,0
139,old_page,1,1,1
140,new_page,0,1,0
141,old_page,0,1,1
142,new_page,1,1,0
143,new_page,1,1,0
144,old_page,1,1,1
145,old_page,1,1,1
146,old_page,0,1,1
147,new_page,0,1,0
148,new_page,0,1,0
149,new_page,0,1,0
150,old_page,0,1,1
151,new_page,1,1,0
152,new_page,0,1,0
153,old_page,0,1,1
154,old_page,0,1,1
155,new_page,0,1,0
156,new_page,0,1,0
157,old_page,0,1,1
158,new_page,0,1,0
159,new_page,0,1,0
160,new_page,0,1,0
161,new_page,0,1,0
162,new_page,0,1,0
163,new_page,0,1,0
164,new_page,0,1,0
165,new_page,0,1,0
166,old_page,0,1,1
167,new_page,0,1,0
168,new_page,0,1,0
169,old_page,0,1,1
170,old_page,1,1,1
171,new_page,0,1,0
172,old_page,0,1,1
173,new_page,0,1,0
174,new_page,0,1,0
175,new_page,0,1,0
176,old_page,1,1,1
177,old_page,0,1,1
178,new_page,0,1,0
179,new_page,0,1,0
180,new_page,1,1,0
181,new_page,0,1,0
182,old_page,1,1,1
183,new_page,0,1,0
184,old_page,0,1,1
185,new_page,1,1,0
186,new_page,0,1,0
187,old_page,0,1,1
188,old_page,1,1,1
189,new_page,0,1,0
190,old_page,0,1,1
191,old_page,1,1,1
192,old_page,0,1,1
193,old_page,1,1,1
194,new_page,0,1,0
195,old_page,1,1,1
196,new_page,0,1,0
197,old_page,1,1,1
198,new_page,0,1,0
199,new_page,0,1,0
200,new_page,0,1,0
201,old_page,0,1,1
202,old_page,0,1,1
203,new_page,0,1,0
204,new_page,0,1,0
205,old_page,1,1,1
206,new_page,0,1,0
207,new_page,0,1,0
208,new_page,0,1,0
209,new_page,0,1,0
210,new_page,0,1,0
211,old_page,1,1,1
212,new_page,1,1,0
213,new_page,0,1,0
214,old_page,0,1,1
215,new_page,0,1,0
216,old_page,1,1,1
217,old_page,0,1,1
218,new_page,0,1,0
219,new_page,0,1,0
220,old_page,0,1,1
221,new_page,1,1,0
222,old_page,0,1,1
223,new_page,0,1,0
224,new_page,0,1,0
225,old_page,0,1,1
226,new_page,0,1,0
227,new_page,0,1,0
228,old_page,0,1,1
229,new_page,0,1,0
230,old_page,1,1,1
231,new_page,1,1,0
232,new_page,0,1,0
233,new_page,0,1,0
234,old_page,0,1,1
235,new_page,0,1,0
236,old_page,0,1,1
237,new_page,0,1,0
238,new_page,0,1,0
239,old_page,0,1,1
240,old_page,0,1,1
241,new_page,1,1,0
242,old_page,0,1,1
243,new_page,0,1,0
244,new_page,1,1,0
245,old_page,1,1,1
246,new_page,0,1,0
247,old_page,0,1,1
248,new_page,0,1,0
249,old_page,1,1,1
250,new_page,1,1,0
251,new_page,0,1,0
252,old_page,0,1,1
253,new_page,0,1,0
254,new_page,0,1,0
255,new_page,0,1,0
256,old_page,0,1,1
257,new_page,0,1,0
258,new_page,0,1,0
259,new_page,0,1,0
260,new_page,0,1,0
261,old_page,1,1,1
262,new_page,0,1,0
263,old_page,0,1,1
264,old_page,0,1,1
265,old_page,0,1,1
266,new_page,0,1,0
267,old_page,1,1,1
268,old_page,0,1,1
269,new_page,0,1,0
270,new_page,0,1,0
271,new_page,1,1,0
272,old_page,1,1,1
273,new_page,0,1,0
274,new_page,0,1,0
275,old_page,1,1,1
276,new_page,1,1,0
277,new_page,0,1,0
278,new_page,1,1,0
279,new_page,0,1,0
280,old_page,1,1,1
281,new_page,0,1,0
282,old_page,1,1,1
283,new_page,0,1,0
284,new_page,1,1,0
285,new_page,0,1,0
286,old_page,0,1,1
287,old_page,0,1,1
288,new_page,0,1,0
289,old_page,0,1,1
290,old_page,0,1,1
291,new_page,0,1,0
292,old_page,0,1,1
293,new_page,0,1,0
294,old_page,0,1,1
295,new_page,0,1,0
296,old_page,1,1,1
297,old_page,0,1,1
298,old_page,1,1,1
299,old_page,0,1,1
300,new_page,0,1,0
301,old_page,0,1,1
302,old_page,0,1,1
303,new_page,0,1,0
304,new_page,0,1,0
305,new_page,1,1,0
306,old_page,0,1,1
307,old_page,1,1,1
308,old_page,1,1,1
309,new_page,1,1,0
310,old_page,1,1,1
311,old_page,0,1,1
312,new_page,1,1,0
313,old_page,1,1,1
314,old_page,1,1,1
315,old_page,0,1,1
316,old_page,0,1,1
317,old_page,0,1,1
318,old_page,0,1,1
319,old_page,1,1,1
320,old_page,0,1,1
321,old_page,0,1,1
322,new_page,0,1,0
323,new_page,1,1,0
324,new_page,0,1,0
325,old_page,0,1,1
326,old_page,0,1,1
327,new_page,1,1,0
328,new_page,0,1,0
329,new_page,0,1,0
330,new_page,1,1,0
331,old_page,0,1,1
332,new_page,0,1,0
333,new_page,0,1,0
334,old_page,0,1,1
335,new_page,0,1,0
336,new_page,0,1,0
337,new_page,0,1,0
338,old_page,1,1,1
339,old_page,0,1,1
340,new_page,0,1,0
341,old_page,0,1,1
342,old_page,0,1,1
343,old_page,1,1,1
344,old_page,0,1,1
345,old_page,0,1,1
346,new_page,1,1,0
347,new_page,0,1,0
348,old_page,0,1,1
349,old_page,0,1,1
350,old_page,0,1,1
351,old_page,0,1,1
352,new_page,1,1,0
353,new_page,0,1,0
354,new_page,0,1,0
355,new_page,1,1,0
356,old_page,1,1,1
357,old_page,0,1,1
358,old_page,0,1,1
359,new_page,1,1,0
360,old_page,1,1,1
361,old_page,0,1,1
362,new_page,0,1,0
363,new_page,0,1,0
364,new_page,0,1,0
365,new_page,1,1,0
366,new_page,0,1,0
367,new_page,0,1,0
368,new_page,1,1,0
369,new_page,0,1,0
370,new_page,0,1,0
371,new_page,1,1,0
372,old_page,0,1,1
373,new_page,1,1,0
374,new_page,1,1,0
375,old_page,0,1,1
376,old_page,0,1,1
377,old_page,0,1,1
378,new_page,1,1,0
379,old_page,0,1,1
380,old_page,0,1,1
381,old_page,0,1,1
